country,value,year
Canada,0.65057431016526,2018
Mexico,0.567163673,2018
US,13.2820510731422,2018
Total North America,14.4997890563074,2018
Argentina,0.04935293160336,2018
Brazil,0.696335166628121,2018
Chile,0.311622042395153,2018
Colombia,0.158061037708487,2018
Ecuador,0.0,2018
Peru,0.0322808169759041,2018
Trinidad & Tobago,0.0,2018
Venezuela,0.00481482,2018
Other S. & Cent. America,0.177494087513587,2018
Total S. & Cent. America,1.42996090282461,2018
Austria,0.119585076218792,2018
Belgium,0.130189467096,2018
Czech Republic,0.648715184928,2018
Finland,0.175473,2018
France,0.350937576,2018
Germany,2.904084,2018
Greece,0.191433642552,2018
Hungary,0.08879491044,2018
Italy,0.369385705368,2018
Netherlands,0.3438,2018
Norway,0.033445916856,2018
Poland,2.084804,2018
Portugal,0.114006564,2018
Romania,0.214637683644,2018
Spain,0.462742588035124,2018
Sweden,0.082916810712,2018
Switzerland,0.00429,2018
Turkey,1.71079290194391,2018
Ukraine,1.1549919433,2018
United Kingdom,0.31743103428,2018
Other Europe,1.41282759594912,2018
Total Europe,12.9152856013229,2018
Azerbaijan,5.16e-05,2018
Belarus,0.037020188016,2018
Kazakhstan,1.70478438396781,2018
Russian Federation,3.62828088,2018
Turkmenistan,0.0,2018
Uzbekistan,0.0850475907701298,2018
Other CIS,0.0874551868014254,2018
Total CIS,5.54263982955536,2018
Iran,0.055432568699005,2018
Iraq,0.0,2018
Israel,0.197212904644557,2018
Kuwait,0.0080186598432,2018
Oman,0.00311893031608696,2018
Qatar,0.0,2018
Saudi Arabia,0.00428177421361765,2018
United Arab Emirates,0.100818144,2018
Other Middle East,0.0165187966235305,2018
Total Middle East,0.385401778339997,2018
Algeria,0.020934,2018
Egypt,0.0901383540768,2018
Morocco,0.21561264785016,2018
South Africa,3.76049637068382,2018
Other Africa,0.318178282136155,2018
Total Africa,4.40535965474694,2018
Australia,1.84454939330996,2018
Bangladesh,0.102338447259906,2018
China,79.8307623,2018
China Hong Kong SAR,0.262684,2018
India,18.5576636894843,2018
Indonesia,2.83851484502447,2018
Japan,4.99158484209333,2018
Malaysia,0.927297469125368,2018
New Zealand,0.0543178443699836,2018
Pakistan,0.49511581813928,2018
Philippines,0.684609599697553,2018
Singapore,0.0199877832,2018
South Korea,3.6278956944,2018
Sri Lanka,0.05715861228,2018
Taiwan,1.69831737609782,2018
Thailand,0.80161118930765,2018
Vietnam,1.58954023738985,2018
Other Asia Pacific,1.23154925768696,2018
Total Asia Pacific,119.615498398866,2018
Total World,158.793935221964,2018
Canada,0.558632506727304,2019
Mexico,0.507516220438844,2019
US,11.3406431680056,2019
Total North America,12.4067918951718,2019
Argentina,0.0228517280442893,2019
Brazil,0.656076918466597,2019
Chile,0.284528776670237,2019
Colombia,0.257706280952272,2019
Ecuador,0.0,2019
Peru,0.02177312415305,2019
Trinidad & Tobago,0.0,2019
Venezuela,0.00316086337547372,2019
Other S. & Cent. America,0.237251403066664,2019
Total S. & Cent. America,1.48334909472858,2019
Austria,0.125841471130489,2019
Belgium,0.127520406274048,2019
Czech Republic,0.604116514713308,2019
Finland,0.146333,2019
France,0.269694923748379,2019
Germany,2.304,2019
Greece,0.138658564771194,2019
Hungary,0.0787208587626515,2019
Italy,0.297949181161731,2019
Netherlands,0.2665,2019
Norway,0.0336528713149574,2019
Poland,1.91042709842623,2019
Portugal,0.057652236,2019
Romania,0.191566113667527,2019
Spain,0.210056021424893,2019
Sweden,0.08471111564229,2019
Switzerland,0.00429,2019
Turkey,1.69646303009876,2019
Ukraine,1.10322816632702,2019
United Kingdom,0.262245827701621,2019
Other Europe,1.43314270203804,2019
Total Europe,11.3467701032031,2019
Azerbaijan,5.16e-05,2019
Belarus,0.0394860122496,2019
Kazakhstan,1.67191791603175,2019
Russian Federation,3.62882417064132,2019
Turkmenistan,0.0,2019
Uzbekistan,0.0726960498077821,2019
Other CIS,0.116909723437041,2019
Total CIS,5.52988547216749,2019
Iran,0.051729067547136,2019
Iraq,0.0,2019
Israel,0.209421347665169,2019
Kuwait,0.0075949975512,2019
Oman,0.00688232193697024,2019
Qatar,0.0,2019
Saudi Arabia,0.00428177421361765,2019
United Arab Emirates,0.103005710153872,2019
Other Middle East,0.0165187966235305,2019
Total Middle East,0.399434015691495,2019
Algeria,0.020934,2019
Egypt,0.0831387278592,2019
Morocco,0.2790522966528,2019
South Africa,3.81380389251476,2019
Other Africa,0.275458398206062,2019
Total Africa,4.47238731523282,2019
Australia,1.78310999426089,2019
Bangladesh,0.144330320080984,2019
China,81.674796492,2019
China Hong Kong SAR,0.258369,2019
India,18.6199874197353,2019
Indonesia,3.40621781402936,2019
Japan,4.90521715240188,2019
Malaysia,0.897672968502431,2019
New Zealand,0.0620459886779219,2019
Pakistan,0.550560568120705,2019
Philippines,0.729494888622935,2019
Singapore,0.0261478912849075,2019
South Korea,3.4363161,2019
Sri Lanka,0.0630406476,2019
Taiwan,1.63049983852747,2019
Thailand,0.713991076500525,2019
Vietnam,2.06996276142896,2019
Other Asia Pacific,1.2466680800811,2019
Total Asia Pacific,122.218429001855,2019
Total World,157.857046898051,2019
