country,value,year
Canada,652.270900107698,2018
Mexico,349.298889168328,2018
US,4457.41546418069,2018
Total North America,5458.98525345671,2018
Argentina,146.773875484766,2018
Brazil,601.396487656437,2018
Other S. & Cent. America,582.827868828059,2018
Total S. & Cent. America,1330.99823196926,2018
Germany,643.45,2018
Italy,289.7084,2018
Netherlands,114.468322,2018
Poland,170.039,2018
Spain,274.452,2018
Turkey,304.8019,2018
Ukraine,159.8528,2018
United Kingdom,332.892757263091,2018
Other Europe,1777.49531001441,2018
Total Europe,4067.1604892775,2018
Kazakhstan,107.2688078,2018
Russian Federation,1109.19779,2018
Other CIS,199.86351,2018
Total CIS,1416.3301078,2018
Iran,314.413359280556,2018
Saudi Arabia,359.234093244441,2018
United Arab Emirates,135.996710951807,2018
Other Middle East,414.485663883133,2018
Total Middle East,1224.12982735994,2018
Egypt,199.39878038449,2018
South Africa,256.336,2018
Other Africa,390.060675938191,2018
Total Africa,845.795456322681,2018
Australia,263.077566294685,2018
China,7166.133,2018
India,1551.4415,2018
Indonesia,267.12065,2018
Japan,1056.22755475995,2018
Malaysia,167.32558233499,2018
South Korea,593.406797,2018
Taiwan,275.57786684313,2018
Thailand,177.636135689,2018
Vietnam,209.181,2018
Other Asia Pacific,582.209175672501,2018
Total Asia Pacific,12309.3368285943,2018
Total World,26652.7361947803,2018
Canada,660.421858273801,2019
Mexico,363.97008352564,2019
US,4401.29940245991,2019
Total North America,5425.69134425935,2019
Argentina,139.929668164955,2019
Brazil,625.595448185007,2019
Other S. & Cent. America,563.808169645229,2019
Total S. & Cent. America,1329.33328599519,2019
Germany,612.3973249,2019
Italy,283.846,2019
Netherlands,121.03923,2019
Poland,163.884,2019
Spain,275.80683239511,2019
Turkey,308.46825652271,2019
Ukraine,154.450026428768,2019
United Kingdom,323.708296514732,2019
Other Europe,1749.74888836299,2019
Total Europe,3993.3488551243,2019
Kazakhstan,108.367121087838,2019
Russian Federation,1118.14323,2019
Other CIS,204.528721103804,2019
Total CIS,1431.03907219164,2019
Iran,318.695542574987,2019
Saudi Arabia,357.404365390386,2019
United Arab Emirates,138.061535053049,2019
Other Middle East,450.493917422838,2019
Total Middle East,1264.65536044126,2019
Egypt,200.562966438579,2019
South Africa,252.578,2019
Other Africa,416.969284476466,2019
Total Africa,870.110250915045,2019
Australia,265.117091227383,2019
China,7503.428,2019
India,1558.70866197065,2019
Indonesia,279.14107925,2019
Japan,1036.3291847033,2019
Malaysia,171.017770173333,2019
South Korea,584.663420033276,2019
Taiwan,274.187840632,2019
Thailand,186.503021613,2019
Vietnam,227.4,2019
Other Asia Pacific,603.98628028138,2019
Total Asia Pacific,12690.4823498843,2019
Total World,27004.6605188111,2019
