country,value,year
Canada,47.0789807017544,2018
Mexico,23.2635193881189,2018
US,451.624761765019,2018
Total North America,521.967261854892,2018
Argentina,4.01316027065315,2018
Brazil,106.318810419219,2018
Other S. & Cent. America,51.5835514698678,2018
Total S. & Cent. America,161.91552215974,2018
Germany,206.783,2018
Italy,65.6282,2018
Netherlands,18.811968,2018
Poland,19.647,2018
Spain,69.815546925,2018
Turkey,37.829515,2018
Ukraine,2.51604497723091,2018
United Kingdom,104.529001938761,2018
Other Europe,230.779338722666,2018
Total Europe,756.339615563658,2018
Kazakhstan,0.5290071,2018
Russian Federation,1.384492,2018
Other CIS,0.594597083333333,2018
Total CIS,2.50809618333333,2018
Iran,0.491095714504018,2018
Saudi Arabia,0.381093244441152,2018
United Arab Emirates,1.32157318094236,2018
Other Middle East,5.29726515277724,2018
Total Middle East,7.49102729266477,2018
Egypt,3.54040404040404,2018
South Africa,12.2562486699273,2018
Other Africa,16.4008989348812,2018
Total Africa,32.1975516452125,2018
Australia,32.2451000464167,2018
China,636.4238,2018
India,122.83783729621,2018
Indonesia,14.57687,2018
Japan,96.773670579479,2018
Malaysia,1.30212225420068,2018
South Korea,23.9201710900392,2018
Taiwan,6.38218814991,2018
Thailand,17.801806928,2018
Vietnam,0.500180326276936,2018
Other Asia Pacific,32.7746401912665,2018
Total Asia Pacific,985.538386861799,2018
Total World,2467.9574615613,2018
Canada,49.2958116566516,2019
Mexico,37.7888212078937,2019
US,489.80060482722,2019
Total North America,576.885237691765,2019
Argentina,8.19297833926771,2019
Brazil,117.650277296403,2019
Other S. & Cent. America,58.3050256661806,2019
Total S. & Cent. America,184.148281301851,2019
Germany,224.101,2019
Italy,67.622,2019
Netherlands,22.280461,2019
Poland,23.097,2019
Spain,77.4904067318818,2019
Turkey,45.3341401237038,2019
Ukraine,5.0370725526739,2019
United Kingdom,113.363670769416,2019
Other Europe,258.260579851664,2019
Total Europe,836.586331029339,2019
Kazakhstan,0.791586301952154,2019
Russian Federation,1.820142,2019
Other CIS,0.677475005949837,2019
Total CIS,3.28920330790199,2019
Iran,0.552516917412837,2019
Saudi Arabia,1.78104239038594,2019
United Arab Emirates,4.17636766483256,2019
Other Middle East,6.82411036693678,2019
Total Middle East,13.3340373395681,2019
Egypt,6.46868686868687,2019
South Africa,12.6282486699273,2019
Other Africa,25.9733420693344,2019
Total Africa,45.0702776079485,2019
Australia,41.051115588938,2019
China,732.329682352941,2019
India,134.932789470913,2019
Indonesia,15.953712384474,2019
Japan,121.161683912812,2019
Malaysia,1.68345396458906,2019
South Korea,29.2354628605507,2019
Taiwan,7.9981642775,2019
Thailand,21.403670967,2019
Vietnam,4.74816151636541,2019
Other Asia Pacific,35.7064330346513,2019
Total Asia Pacific,1146.20433033074,2019
Total World,2805.51769860911,2019
