country,value,year
Canada,64.1387096774194,2018
Mexico,194.61037,2018
US,1579.27593978495,2018
Total North America,1838.02501946237,2018
Argentina,84.9230282672643,2018
Brazil,54.6217355328639,2018
Other S. & Cent. America,103.990549141933,2018
Total S. & Cent. America,243.535312942061,2018
Germany,82.496,2018
Italy,128.5376,2018
Netherlands,57.719393,2018
Poland,12.634,2018
Spain,58.00200147,2018
Turkey,92.4828,2018
Ukraine,9.02371000267435,2018
United Kingdom,131.48241535666,2018
Other Europe,157.514335639526,2018
Total Europe,729.892255468861,2018
Kazakhstan,20.668348957134,2018
Russian Federation,511.098411566258,2018
Other CIS,148.647154666667,2018
Total CIS,680.413915190058,2018
Iran,208.980150790367,2018
Saudi Arabia,200.03189115442,2018
United Arab Emirates,134.671920003865,2018
Other Middle East,237.960478985327,2018
Total Middle East,781.644440933979,2018
Egypt,153.701976918797,2018
South Africa,1.85028113818368,2018
Other Africa,175.750820502699,2018
Total Africa,331.30307855968,2018
Australia,51.3738343110924,2018
China,215.5,2018
India,73.9252053748985,2018
Indonesia,57.28961,2018
Japan,386.905,2018
Malaysia,64.8187094513853,2018
South Korea,160.924472179555,2018
Taiwan,92.41555814092,2018
Thailand,116.265176074,2018
Vietnam,40.08224,2018
Other Asia Pacific,218.156678439514,2018
Total Asia Pacific,1477.65648397137,2018
Total World,6082.47050652837,2018
Canada,69.2511599927652,2019
Mexico,205.624777131636,2019
US,1700.87642580645,2019
Total North America,1975.75236293085,2019
Argentina,82.2828826497134,2019
Brazil,58.8701637955939,2019
Other S. & Cent. America,103.799311368621,2019
Total S. & Cent. America,244.952357813929,2019
Germany,91.0234457,2019
Italy,126.459620850578,2019
Netherlands,71.010087,2019
Poland,14.782,2019
Spain,85.9746420624309,2019
Turkey,58.1172020314676,2019
Ukraine,9.18652802922352,2019
United Kingdom,132.458402919268,2019
Other Europe,179.099168059866,2019
Total Europe,768.111096652833,2019
Kazakhstan,20.7844628281711,2019
Russian Federation,519.537368845254,2019
Other CIS,152.703278894536,2019
Total CIS,693.02511056796,2019
Iran,199.547682236227,2019
Saudi Arabia,206.027673801317,2019
United Arab Emirates,133.881949621216,2019
Other Middle East,253.483400680445,2019
Total Middle East,792.940706339206,2019
Egypt,152.512112240755,2019
South Africa,1.85926052138354,2019
Other Africa,186.101446790227,2019
Total Africa,340.472819552366,2019
Australia,54.357492915435,2019
China,236.464932126697,2019
India,71.0206082404165,2019
Indonesia,51.5925396216624,2019
Japan,362.371,2019
Malaysia,68.5676354065889,2019
South Korea,150.790763904494,2019
Taiwan,91.121656665,2019
Thailand,121.840620661,2019
Vietnam,43.144523136,2019
Other Asia Pacific,231.378208817074,2019
Total Asia Pacific,1482.64998149437,2019
Total World,6297.90443535151,2019
