country,value,year
Canada,3.83118279569892,2018
Mexico,35.70006,2018
US,27.1243430107527,2018
Total North America,66.6555858064516,2018
Argentina,6.675,2018
Brazil,12.1509321466628,2018
Other S. & Cent. America,95.1197410383297,2018
Total S. & Cent. America,113.945673184993,2018
Germany,5.187,2018
Italy,11.02913,2018
Netherlands,1.303466,2018
Poland,1.8,2018
Spain,14.49897953,2018
Turkey,0.3291,2018
Ukraine,0.708505845466717,2018
United Kingdom,1.68236298713638,2018
Other Europe,19.5378509402296,2018
Total Europe,56.0763953028327,2018
Kazakhstan,0.823700381433022,2018
Russian Federation,6.83664715230771,2018
Other CIS,0.86953,2018
Total CIS,8.52987753374073,2018
Iran,86.038801015825,2018
Saudi Arabia,158.82110884558,2018
United Arab Emirates,0.003217767,2018
Other Middle East,147.470950450606,2018
Total Middle East,392.334078079011,2018
Egypt,28.7912744252885,2018
South Africa,1.202,2018
Other Africa,49.3244883246576,2018
Total Africa,79.3177627499461,2018
Australia,5.4222414643232,2018
China,5.48276777777778,2018
India,8.47151964867155,2018
Indonesia,18.10269,2018
Japan,66.2035946236559,2018
Malaysia,1.25283093788869,2018
South Korea,10.091768975633,2018
Taiwan,8.2468146718,2018
Thailand,0.177198575,2018
Vietnam,0.2123,2018
Other Asia Pacific,49.8744279948679,2018
Total Asia Pacific,173.538154669618,2018
Total World,890.397527326593,2018
Canada,4.13656406598818,2019
Mexico,37.6845499683964,2019
US,19.9644215053763,2019
Total North America,61.7855355397609,2019
Argentina,2.756028,2019
Brazil,7.88364672032481,2019
Other S. & Cent. America,75.6336912007522,2019
Total S. & Cent. America,86.273365921077,2019
Germany,5.080193043,2019
Italy,10.2449104689864,2019
Netherlands,1.36262173395931,2019
Poland,1.212,2019
Spain,13.4163711387837,2019
Turkey,0.168964166872477,2019
Ukraine,0.249565173889275,2019
United Kingdom,1.04081582582004,2019
Other Europe,19.0103957224324,2019
Total Europe,51.7858372737436,2019
Kazakhstan,0.828327893773813,2019
Russian Federation,6.93591779675935,2019
Other CIS,0.862994729179947,2019
Total CIS,8.62724041971311,2019
Iran,82.5951356917726,2019
Saudi Arabia,149.595649198683,2019
United Arab Emirates,0.003217767,2019
Other Middle East,163.921098973322,2019
Total Middle East,396.115101630777,2019
Egypt,28.1913173291376,2019
South Africa,1.202,2019
Other Africa,51.8809225377875,2019
Total Africa,81.2742398669251,2019
Australia,5.78279878663733,2019
China,6.01615921317245,2019
India,8.18518692399557,2019
Indonesia,17.3111706691935,2019
Japan,44.7304956989247,2019
Malaysia,2.58781472416352,2019
South Korea,7.43105695851957,2019
Taiwan,5.752174417,2019
Thailand,1.12480183,2019
Vietnam,1.416,2019
Other Asia Pacific,39.1457590538702,2019
Total Asia Pacific,139.483418275477,2019
Total World,825.344738927473,2019
