country,value,year
Canada,4.2580566,2018
Mexico,3.15267745769519,2018
US,29.5179104706945,2018
Total North America,36.9286445283897,2018
Argentina,1.75335262851297,2018
Brazil,1.29206871623721,2018
Chile,0.230893535933885,2018
Colombia,0.475564233174682,2018
Ecuador,0.0254604203775415,2018
Peru,0.288082173519155,2018
Trinidad & Tobago,0.625491006309068,2018
Venezuela,1.13828758262243,2018
Other S. & Cent. America,0.28851999408375,2018
Total S. & Cent. America,6.11772029077068,2018
Austria,0.31272908080788,2018
Belgium,0.6074676,2018
Czech Republic,0.2873817,2018
Finland,0.075614,2018
France,1.53763557723699,2018
Germany,3.090626,2018
Greece,0.16994124,2018
Hungary,0.346407,2018
Italy,2.49170699187543,2018
Netherlands,1.2731,2018
Norway,0.16138170549864,2018
Poland,0.717338,2018
Portugal,0.208777689492696,2018
Romania,0.416267555,2018
Spain,1.13287952857503,2018
Sweden,0.0366075,2018
Switzerland,0.11951,2018
Turkey,1.70037063,2018
Ukraine,1.10048672566372,2018
United Kingdom,2.85325309595149,2018
Other Europe,1.08856052994745,2018
Total Europe,19.7280421500493,2018
Azerbaijan,0.38936925,2018
Belarus,0.695313840707964,2018
Kazakhstan,0.6838353716562,2018
Russian Federation,16.3619752831858,2018
Turkmenistan,1.02212389380531,2018
Uzbekistan,1.59788166385406,2018
Other CIS,0.211175314986284,2018
Total CIS,20.9616746181957,2018
Iran,8.06891685745314,2018
Iraq,0.525616067705779,2018
Israel,0.3788253,2018
Kuwait,0.761480509529881,2018
Oman,0.899102669575822,2018
Qatar,1.48894486488616,2018
Saudi Arabia,4.0356,2018
United Arab Emirates,2.67792473252207,2018
Other Middle East,0.812864462731612,2018
Total Middle East,19.6492754644045,2018
Algeria,1.562715,2018
Egypt,2.14540593294043,2018
Morocco,0.03706694946333,2018
South Africa,0.161024817475843,2018
Other Africa,1.45105470198017,2018
Total Africa,5.35726740185977,2018
Australia,1.49138400286152,2018
Bangladesh,0.987444051572318,2018
China,10.1878546122685,2018
China Hong Kong SAR,0.108624602416992,2018
India,2.091288899709,2018
Indonesia,1.60302913541272,2018
Japan,4.16549360412138,2018
Malaysia,1.47731699410934,2018
New Zealand,0.158723385860068,2018
Pakistan,1.56915398477698,2018
Philippines,0.147197042707878,2018
Singapore,0.44230615010694,2018
South Korea,2.08094427,2018
Sri Lanka,0.0,2018
Taiwan,0.851836961219865,2018
Thailand,1.80070602599109,2018
Vietnam,0.3477474,2018
Other Asia Pacific,0.406156704563024,2018
Total Asia Pacific,29.9172078276977,2018
Total World,138.659832281367,2018
Canada,4.33124884385551,2019
Mexico,3.26402722520543,2019
US,30.479221867664,2019
Total North America,38.074497936725,2019
Argentina,1.70966142212289,2019
Brazil,1.28914192121671,2019
Chile,0.233328331494512,2019
Colombia,0.484071971622184,2019
Ecuador,0.0227538329014325,2019
Peru,0.298797675129086,2019
Trinidad & Tobago,0.631505053512706,2019
Venezuela,0.952409269208652,2019
Other S. & Cent. America,0.331051630098915,2019
Total S. & Cent. America,5.95272110730709,2019
Austria,0.32041587733524,2019
Belgium,0.625806,2019
Czech Republic,0.2996982,2019
Finland,0.072752,2019
France,1.5636489723,2019
Germany,3.19164646148867,2019
Greece,0.185297279934215,2019
Hungary,0.353192629347922,2019
Italy,2.54846212991645,2019
Netherlands,1.32634088346325,2019
Norway,0.16177994239122,2019
Poland,0.733574434932117,2019
Portugal,0.220645695603504,2019
Romania,0.391853595476911,2019
Spain,1.29998450067761,2019
Sweden,0.0377724877600979,2019
Switzerland,0.122394213692628,2019
Turkey,1.55592282040649,2019
Ukraine,1.01530973451327,2019
United Kingdom,2.83830104905861,2019
Other Europe,1.08402617751071,2019
Total Europe,19.9488250858089,2019
Azerbaijan,0.4244124825,2019
Belarus,0.693485407031613,2019
Kazakhstan,0.64450322219166,2019
Russian Federation,15.9952579646018,2019
Turkmenistan,1.13517486464686,2019
Uzbekistan,1.56288187876106,2019
Other CIS,0.198431965284514,2019
Total CIS,20.6541477850175,2019
Iran,8.05025999202985,2019
Iraq,0.717237338334362,2019
Israel,0.3877875,2019
Kuwait,0.846583359468995,2019
Oman,0.900342816767767,2019
Qatar,1.47862491193149,2019
Saudi Arabia,4.09119430894309,2019
United Arab Emirates,2.73566097086731,2019
Other Middle East,0.893014501386859,2019
Total Middle East,20.1007056997297,2019
Algeria,1.62855,2019
Egypt,2.12202955117428,2019
Morocco,0.0351246576497229,2019
South Africa,0.154189703190129,2019
Other Africa,1.46470661379211,2019
Total Africa,5.40460052580625,2019
Australia,1.93465022440068,2019
Bangladesh,1.23681487362727,2019
China,11.0640101089237,2019
China Hong Kong SAR,0.112181841210938,2019
India,2.14851056794382,2019
Indonesia,1.57742503918544,2019
Japan,3.89236188511854,2019
Malaysia,1.52237664129303,2019
New Zealand,0.172784030957668,2019
Pakistan,1.64391415470615,2019
Philippines,0.146895433425653,2019
Singapore,0.458679837526184,2019
South Korea,2.014813764,2019
Sri Lanka,0.0,2019
Taiwan,0.837353554923816,2019
Thailand,1.82997327534424,2019
Vietnam,0.354698874,2019
Other Asia Pacific,0.36982785912439,2019
Total Asia Pacific,31.3172719657115,2019
Total World,141.452770106106,2019
