country,value,year
Canada,47.0789807017544,2018
Mexico,23.2635193881189,2018
US,451.624761765019,2018
Total North America,521.967261854892,2018
Argentina,4.01316027065315,2018
Brazil,106.318810419219,2018
Chile,17.8638675149767,2018
Colombia,2.18646628592707,2018
Ecuador,0.546304746831,2018
Peru,3.49242524363455,2018
Trinidad & Tobago,0.00466999092511833,2018
Venezuela,0.00889607902845461,2018
Other S. & Cent. America,27.4809216085449,2018
Total S. & Cent. America,161.91552215974,2018
Austria,12.321650044,2018
Belgium,16.8373,2018
Czech Republic,7.776186,2018
Finland,18.1131,2018
France,46.9243012574016,2018
Germany,206.783,2018
Greece,10.404981,2018
Hungary,3.519,2018
Italy,65.6282,2018
Netherlands,18.811968,2018
Norway,4.16632523830735,2018
Poland,19.647,2018
Portugal,17.008,2018
Romania,8.53013,2018
Spain,69.815546925,2018
Sweden,28.927,2018
Switzerland,3.877,2018
Turkey,37.829515,2018
Ukraine,2.51604497723091,2018
United Kingdom,104.529001938761,2018
Other Europe,1.08296854189869,2018
Total Europe,756.339615563658,2018
Azerbaijan,0.20256,2018
Belarus,0.326,2018
Kazakhstan,0.5290071,2018
Russian Federation,1.384492,2018
Turkmenistan,0.00696,2018
Uzbekistan,0.00163333333333333,2018
Other CIS,0.05744375,2018
Total CIS,2.50809618333333,2018
Iran,0.491095714504018,2018
Iraq,0.057305,2018
Israel,1.738974,2018
Kuwait,0.0832005953832865,2018
Oman,0.00375523431885988,2018
Qatar,0.123208,2018
Saudi Arabia,0.381093244441152,2018
United Arab Emirates,1.32157318094236,2018
Other Middle East,3.2908223230751,2018
Total Middle East,7.49102729266477,2018
Algeria,0.613,2018
Egypt,3.54040404040404,2018
Morocco,4.790898,2018
South Africa,12.2562486699273,2018
Other Africa,10.9970009348812,2018
Total Africa,32.1975516452125,2018
Australia,32.2451000464167,2018
Bangladesh,0.310630616169918,2018
China,636.4238,2018
China Hong Kong SAR,0.100628451470734,2018
India,122.83783729621,2018
Indonesia,14.57687,2018
Japan,96.773670579479,2018
Malaysia,1.30212225420068,2018
New Zealand,10.519980016595,2018
Pakistan,5.15560384682088,2018
Philippines,13.9421668531938,2018
Singapore,0.897839117289594,2018
South Korea,23.9201710900392,2018
Sri Lanka,0.769409803588367,2018
Taiwan,6.38218814991,2018
Thailand,17.801806928,2018
Vietnam,0.500180326276936,2018
Other Asia Pacific,1.07838148613812,2018
Total Asia Pacific,985.538386861799,2018
Total World,2467.9574615613,2018
Canada,49.2958116566516,2019
Mexico,37.7888212078937,2019
US,489.80060482722,2019
Total North America,576.885237691765,2019
Argentina,8.19297833926771,2019
Brazil,117.650277296403,2019
Chile,21.5926228933639,2019
Colombia,2.23013418388707,2019
Ecuador,0.706702665103,2019
Peru,4.02206897786298,2019
Trinidad & Tobago,0.00466999092511833,2019
Venezuela,0.159698448639133,2019
Other S. & Cent. America,29.5891285063994,2019
Total S. & Cent. America,184.148281301851,2019
Austria,13.573681091833,2019
Belgium,18.6059824451592,2019
Czech Republic,7.9067,2019
Finland,18.3585,2019
France,54.9061316805991,2019
Germany,224.101,2019
Greece,11.5591334229752,2019
Hungary,4.256,2019
Italy,67.622,2019
Netherlands,22.280461,2019
Norway,5.91088608842238,2019
Poland,23.097,2019
Portugal,18.56,2019
Romania,9.02285871787861,2019
Spain,77.4904067318818,2019
Sweden,33.5917568402628,2019
Switzerland,4.14366480590957,2019
Turkey,45.3341401237038,2019
Ukraine,5.0370725526739,2019
United Kingdom,113.363670769416,2019
Other Europe,2.02088536379332,2019
Total Europe,836.586331029339,2019
Azerbaijan,0.259544343891403,2019
Belarus,0.340015800947323,2019
Kazakhstan,0.791586301952154,2019
Russian Federation,1.820142,2019
Turkmenistan,0.00696,2019
Uzbekistan,0.00381111111111111,2019
Other CIS,0.06714375,2019
Total CIS,3.28920330790199,2019
Iran,0.552516917412837,2019
Iraq,0.057305,2019
Israel,2.88459838665358,2019
Kuwait,0.159870399058764,2019
Oman,0.00375523431885988,2019
Qatar,0.123208,2019
Saudi Arabia,1.78104239038594,2019
United Arab Emirates,4.17636766483256,2019
Other Middle East,3.59537334690557,2019
Total Middle East,13.3340373395681,2019
Algeria,0.625,2019
Egypt,6.46868686868687,2019
Morocco,6.280652,2019
South Africa,12.6282486699273,2019
Other Africa,19.0676900693344,2019
Total Africa,45.0702776079485,2019
Australia,41.051115588938,2019
Bangladesh,0.433456641302937,2019
China,732.329682352941,2019
China Hong Kong SAR,0.111470484091669,2019
India,134.932789470913,2019
Indonesia,15.953712384474,2019
Japan,121.161683912812,2019
Malaysia,1.68345396458906,2019
New Zealand,10.8087783799441,2019
Pakistan,6.88353316547323,2019
Philippines,14.2779801464685,2019
Singapore,0.951107408063996,2019
South Korea,29.2354628605507,2019
Sri Lanka,0.826430911022195,2019
Taiwan,7.9981642775,2019
Thailand,21.403670967,2019
Vietnam,4.74816151636541,2019
Other Asia Pacific,1.41367589828474,2019
Total Asia Pacific,1146.20433033073,2019
Total World,2805.51769860911,2019
