country,year,value
Canada,2019,4346.0
Mexico,2019,1160.0
US,2019,219534.0
Total North America,2019,225040.0
Brazil,2019,1547.0
Colombia,2019,4554.0
Venezuela,2019,731.0
Other S. & Cent. America,2019,1784.0
Total S. & Cent. America,2019,8616.0
Bulgaria,2019,192.0
Czech Republic,2019,413.0
Germany,2019,0.0
Greece,2019,0.0
Hungary,2019,276.0
Poland,2019,21067.0
Romania,2019,11.0
Serbia,2019,402.0
Spain,2019,868.0
Turkey,2019,550.0
Ukraine,2019,32039.0
United Kingdom,2019,26.0
Other Europe,2019,1109.0
Total Europe,2019,56953.0
Kazakhstan,2019,25605.0
Russian Federation,2019,71719.0
Uzbekistan,2019,1375.0
Other CIS,2019,1509.0
Total CIS,2019,100208.0
South Africa,2019,9893.0
Zimbabwe,2019,502.0
Other Africa,2019,4376.0
Middle East,2019,1203.0
Total Middle East & Africa,2019,15974.0
Australia,2019,72571.0
China,2019,133467.0
India,2019,100858.0
Indonesia,2019,28163.0
Japan,2019,340.0
Mongolia,2019,1170.0
New Zealand,2019,825.0
Pakistan,2019,207.0
South Korea,2019,326.0
Thailand,2019,0.0
Vietnam,2019,3116.0
Other Asia Pacific,2019,1333.0
Total Asia Pacific,2019,342376.0
Total World,2019,749167.0
