country,year,value
Canada,2019,2236.0
Mexico,2019,51.0
US,2019,30003.0
Total North America,2019,32290.0
Brazil,2019,5049.0
Colombia,2019,0.0
Venezuela,2019,0.0
Other S. & Cent. America,2019,24.0
Total S. & Cent. America,2019,5073.0
Bulgaria,2019,2174.0
Czech Republic,2019,2514.0
Germany,2019,35900.0
Greece,2019,2876.0
Hungary,2019,2633.0
Poland,2019,5865.0
Romania,2019,280.0
Serbia,2019,7112.0
Spain,2019,319.0
Turkey,2019,10975.0
Ukraine,2019,2336.0
United Kingdom,2019,0.0
Other Europe,2019,5172.0
Total Europe,2019,78156.0
Kazakhstan,2019,0.0
Russian Federation,2019,90447.0
Uzbekistan,2019,0.0
Other CIS,2019,0.0
Total CIS,2019,90447.0
South Africa,2019,0.0
Zimbabwe,2019,0.0
Other Africa,2019,66.0
Middle East,2019,0.0
Total Middle East & Africa,2019,66.0
Australia,2019,76508.0
China,2019,8128.0
India,2019,5073.0
Indonesia,2019,11728.0
Japan,2019,10.0
Mongolia,2019,1350.0
New Zealand,2019,6750.0
Pakistan,2019,2857.0
South Korea,2019,0.0
Thailand,2019,1063.0
Vietnam,2019,244.0
Other Asia Pacific,2019,726.0
Total Asia Pacific,2019,114437.0
Total World,2019,320469.0
