country,year,value
Canada,2019,6582.0
Mexico,2019,1211.0
US,2019,249537.0
Total North America,2019,257330.0
Brazil,2019,6596.0
Colombia,2019,4554.0
Venezuela,2019,731.0
Other S. & Cent. America,2019,1808.0
Total S. & Cent. America,2019,13689.0
Bulgaria,2019,2366.0
Czech Republic,2019,2927.0
Germany,2019,35900.0
Greece,2019,2876.0
Hungary,2019,2909.0
Poland,2019,26932.0
Romania,2019,291.0
Serbia,2019,7514.0
Spain,2019,1187.0
Turkey,2019,11525.0
Ukraine,2019,34375.0
United Kingdom,2019,26.0
Other Europe,2019,6281.0
Total Europe,2019,135109.0
Kazakhstan,2019,25605.0
Russian Federation,2019,162166.0
Uzbekistan,2019,1375.0
Other CIS,2019,1509.0
Total CIS,2019,190655.0
South Africa,2019,9893.0
Zimbabwe,2019,502.0
Other Africa,2019,4442.0
Middle East,2019,1203.0
Total Middle East & Africa,2019,16040.0
Australia,2019,149079.0
China,2019,141595.0
India,2019,105931.0
Indonesia,2019,39891.0
Japan,2019,350.0
Mongolia,2019,2520.0
New Zealand,2019,7575.0
Pakistan,2019,3064.0
South Korea,2019,326.0
Thailand,2019,1063.0
Vietnam,2019,3360.0
Other Asia Pacific,2019,2059.0
Total Asia Pacific,2019,456813.0
Total World,2019,1069636.0
