country,year,value
Canada,1965,920.0
Canada,1966,1012.0
Canada,1967,1106.0
Canada,1968,1194.0
Canada,1969,1306.0
Canada,1970,1473.0
Canada,1971,1582.0
Canada,1972,1829.0
Canada,1973,2114.0
Canada,1974,1993.0
Canada,1975,1735.0
Canada,1976,1598.0
Canada,1977,1608.0
Canada,1978,1597.0
Canada,1979,1835.0
Canada,1980,1764.0
Canada,1981,1610.0
Canada,1982,1590.0
Canada,1983,1661.0
Canada,1984,1775.0
Canada,1985,1812.79521099365
Canada,1986,1805.11746164193
Canada,1987,1908.7699482158
Canada,1988,2002.41851398741
Canada,1989,1961.45622826868
Canada,1990,1967.73567110496
Canada,1991,1983.50534326451
Canada,1992,2065.57905982821
Canada,1993,2189.01030279524
Canada,1994,2281.33478880381
Canada,1995,2402.12781289982
Canada,1996,2479.91742360248
Canada,1997,2587.59028284439
Canada,1998,2672.38133911372
Canada,1999,2604.39959497769
Canada,2000,2883.72871416049
Canada,2001,2894.51920724516
Canada,2002,3011.46832942109
Canada,2003,3156.5734016638
Canada,2004,3230.07044051324
Canada,2005,3188.00866949648
Canada,2006,3359.12081673815
Canada,2007,3433.05624960524
Canada,2008,3341.44820945011
Canada,2009,3330.72533689235
Canada,2010,3456.80760891551
Canada,2011,3636.74272355677
Canada,2012,3859.86953400045
Canada,2013,4127.94075469923
Canada,2014,4418.05956768617
Canada,2015,4572.26677153135
Canada,2016,4655.47587518106
Canada,2017,5037.33201762177
Canada,2018,5500.67868062867
Canada,2019,5650.77274459161
Mexico,1965,362.0
Mexico,1966,370.0
Mexico,1967,411.0
Mexico,1968,439.0
Mexico,1969,461.0
Mexico,1970,487.0
Mexico,1971,486.0
Mexico,1972,506.0
Mexico,1973,525.0
Mexico,1974,653.0
Mexico,1975,806.0
Mexico,1976,894.0
Mexico,1977,1085.0
Mexico,1978,1327.0
Mexico,1979,1607.0
Mexico,1980,2129.0
Mexico,1981,2553.0
Mexico,1982,3001.0
Mexico,1983,2930.0
Mexico,1984,2942.0
Mexico,1985,2912.0
Mexico,1986,2758.0
Mexico,1987,2879.0
Mexico,1988,2877.0
Mexico,1989,2897.0
Mexico,1990,2940.776928768
Mexico,1991,3099.631421918
Mexico,1992,3098.273032787
Mexico,1993,3115.34489947941
Mexico,1994,3135.9556193147
Mexico,1995,3054.76808598921
Mexico,1996,3270.05702200502
Mexico,1997,3408.62612140012
Mexico,1998,3498.55562350981
Mexico,1999,3351.69031376674
Mexico,2000,3455.94560846721
Mexico,2001,3568.12804280822
Mexico,2002,3592.64832707671
Mexico,2003,3794.69958883562
Mexico,2004,3830.18032932787
Mexico,2005,3765.62080472055
Mexico,2006,3689.12573072603
Mexico,2007,3478.5303843863
Mexico,2008,3165.32771242896
Mexico,2009,2978.49480151507
Mexico,2010,2959.36647987945
Mexico,2011,2940.31337989589
Mexico,2012,2911.09798051366
Mexico,2013,2874.75273139726
Mexico,2014,2784.20087894247
Mexico,2015,2586.54084728219
Mexico,2016,2455.79949766393
Mexico,2017,2224.15015987397
Mexico,2018,2068.37114286301
Mexico,2019,1918.14282498356
US,1965,9014.148
US,1966,9579.241
US,1967,10219.252
US,1968,10599.743
US,1969,10827.674
US,1970,11296.849
US,1971,11155.778
US,1972,11184.896
US,1973,10945.953
US,1974,10461.205
US,1975,10007.737
US,1976,9735.639
US,1977,9862.562
US,1978,10274.441
US,1979,10135.534
US,1980,10169.626
US,1981,10180.573
US,1982,10198.534
US,1983,10246.668
US,1984,10508.951
US,1985,10580.378
US,1986,10231.142
US,1987,9943.978
US,1988,9764.689
US,1989,9159.077
US,1990,8914.307
US,1991,9075.545
US,1992,8868.125
US,1993,8582.665
US,1994,8388.579
US,1995,8321.639
US,1996,8294.527
US,1997,8268.592
US,1998,8010.833
US,1999,7731.458
US,2000,7732.65864480874
US,2001,7669.60921917808
US,2002,7624.3382739726
US,2003,7368.44794520548
US,2004,7250.24395628415
US,2005,6900.78364383562
US,2006,6824.85852054795
US,2007,6856.69178082192
US,2008,6783.35406010929
US,2009,7266.70695890411
US,2010,7558.36710958904
