country,year,value
Canada,1965,1108.11630136986
Canada,1966,1167.46879452055
Canada,1967,1245.55706849315
Canada,1968,1322.15734972678
Canada,1969,1380.19032876712
Canada,1970,1471.57975342466
Canada,1971,1512.12824657534
Canada,1972,1588.90923497268
Canada,1973,1682.37917808219
Canada,1974,1712.65408219178
Canada,1975,1682.41991780822
Canada,1976,1788.92907103825
Canada,1977,1811.69323287671
Canada,1978,1849.04473972603
Canada,1979,1931.1275890411
Canada,1980,1898.03245901639
Canada,1981,1788.17109589041
Canada,1982,1608.54536986301
Canada,1983,1518.12473972603
Canada,1984,1539.78781420765
Canada,1985,1556.13153424658
Canada,1986,1559.47906849315
Canada,1987,1627.21315068493
Canada,1988,1709.7737704918
Canada,1989,1770.71934246575
Canada,1990,1747.30635616438
Canada,1991,1659.16849315069
Canada,1992,1688.91371584699
Canada,1993,1697.29578082192
Canada,1994,1726.13536986301
Canada,1995,1848.24882442958
Canada,1996,1889.21827863455
Canada,1997,1968.88437883394
Canada,1998,2002.26771306433
Canada,1999,2061.21295878423
Canada,2000,2042.70638205731
Canada,2001,2093.87015590468
Canada,2002,2172.31314286855
Canada,2003,2228.23817656048
Canada,2004,2308.59091160776
Canada,2005,2290.22607083873
Canada,2006,2278.65999514097
Canada,2007,2345.40077663628
Canada,2008,2299.99708974223
Canada,2009,2183.08494040396
Canada,2010,2332.6435091804
Canada,2011,2396.54875972616
Canada,2012,2329.51793203389
Canada,2013,2345.3366381437
Canada,2014,2386.79213505995
Canada,2015,2346.75319261451
Canada,2016,2393.32595958367
Canada,2017,2393.00734813141
Canada,2018,2443.31114733966
Canada,2019,2402.54131433822
Mexico,1965,315.87108772763
Mexico,1966,333.048483681859
Mexico,1967,357.305957108298
Mexico,1968,386.144762357246
Mexico,1969,410.021905638255
Mexico,1970,440.735987236379
Mexico,1971,467.284851511598
Mexico,1972,523.353166142716
Mexico,1973,564.177805458674
Mexico,1974,629.457069264905
Mexico,1975,690.248844328352
Mexico,1976,753.827059215317
Mexico,1977,780.156300063818
Mexico,1978,888.948442422713
Mexico,1979,961.922471675151
Mexico,1980,1071.68922981013
Mexico,1981,1195.70253348966
Mexico,1982,1254.6380253343
Mexico,1983,1227.6879883198
Mexico,1984,1293.31785258334
Mexico,1985,1356.87273485804
Mexico,1986,1393.82972074385
Mexico,1987,1448.32235540747
Mexico,1988,1434.99800052099
Mexico,1989,1537.5411403553
Mexico,1990,1610.78580397453
Mexico,1991,1686.53032582852
Mexico,1992,1708.33885000207
Mexico,1993,1714.92747256564
Mexico,1994,1824.3367854376
Mexico,1995,1722.42166256549
Mexico,1996,1744.85854090072
Mexico,1997,1783.88364618056
Mexico,1998,1881.03406052331
Mexico,1999,1874.44237846807
Mexico,2000,1951.93053052827
Mexico,2001,1925.03486566438
Mexico,2002,1847.96149163389
Mexico,2003,1900.67899929652
Mexico,2004,1975.24698997599
Mexico,2005,2017.37775149578
Mexico,2006,2008.08636324613
Mexico,2007,2088.87389890283
Mexico,2008,2080.43664320712
Mexico,2009,2021.32115397006
Mexico,2010,2039.73880087796
Mexico,2011,2065.14367740353
Mexico,2012,2082.99948686381
Mexico,2013,2034.16349388088
Mexico,2014,1959.69488556214
Mexico,2015,1939.28859368485
Mexico,2016,1950.17857739167
Mexico,2017,1883.22742110344
Mexico,2018,1821.22724830141
Mexico,2019,1733.34959650473
US,1965,11522.187698
US,1966,12100.347314
US,1967,12566.880466
US,1968,13404.548552
US,1969,14152.985096
US,1970,14709.910246
US,1971,15222.758083
US,1972,16380.813852
US,1973,17317.932767
US,1974,16630.648
US,1975,16333.560877
US,1976,17460.744535
US,1977,18443.366767
US,1978,18755.940658
US,1979,18438.21115
US,1980,17062.354836
US,1981,16059.695341
US,1982,15294.962684
US,1983,15234.540302
US,1984,15725.3589345464
US,1985,15726.130987137
US,1986,16280.8936154932
US,1987,16664.6691231096
US,1988,17283.2501345301
US,1989,17325.2332050411
US,1990,16939.4839097247
US,1991,16658.9482582851
US,1992,16968.6329916177
US,1993,17161.2753028526
US,1994,17634.629834182
US,1995,17634.7533744481
US,1996,18244.8408509631
US,1997,18538.6845510267
US,1998,18826.6168477469
US,1999,19424.853782606
US,2000,19593.795095344
US,2001,19534.315628347
US,2002,19624.7024459674
US,2003,19847.814830484
US,2004,20498.6620999997
US,2005,20531.5396768565
US,2006,20312.8144208741
US,2007,20208.2687949119
US,2008,18840.7320022518
US,2009,18030.4694054795
US,2010,18324.3837232877
US,2011,17983.2165753425
US,2012,17593.7205819672
US,2013,18005.8449671233
US,2014,18136.2182191781
US,2015,18523.6789178082
US,2016,18617.6407759563
US,2017,18883.3369013699
US,2018,19427.6425249497
US,2019,19399.9637428493
Total North America,1965,12946.1750870975
Total North America,1966,13600.8645922024
Total North America,1967,14169.7434916015
Total North America,1968,15112.850664084
Total North America,1969,15943.1973304054
Total North America,1970,16622.225986661
Total North America,1971,17202.1711810869
Total North America,1972,18493.0762531154
Total North America,1973,19564.4897505409
Total North America,1974,18972.7591514567
Total North America,1975,18706.2296391366
Total North America,1976,20003.5006652536
Total North America,1977,21035.2162999405
Total North America,1978,21493.9338401487
Total North America,1979,21331.2612107162
Total North America,1980,20032.0765248265
Total North America,1981,19043.5689703801
Total North America,1982,18158.1460791973
Total North America,1983,17980.3530300458
Total North America,1984,18558.4646013374
Total North America,1985,18639.1352562416
Total North America,1986,19234.2024047302
Total North America,1987,19740.204629202
Total North America,1988,20428.0219055428
Total North America,1989,20633.4936878621
Total North America,1990,20297.5760698636
Total North America,1991,20004.6470772643
Total North America,1992,20365.8855574668
Total North America,1993,20573.4985562401
Total North America,1994,21185.1019894826
Total North America,1995,21205.4238614432
Total North America,1996,21878.9176704983
Total North America,1997,22291.4525760412
Total North America,1998,22709.9186213345
Total North America,1999,23360.5091198583
Total North America,2000,23588.4320079296
Total North America,2001,23553.2206499161
Total North America,2002,23644.9770804698
Total North America,2003,23976.732006341
Total North America,2004,24782.5000015835
Total North America,2005,24839.143499191
Total North America,2006,24599.5607792612
Total North America,2007,24642.543470451
Total North America,2008,23221.1657352012
Total North America,2009,22234.8754998535
Total North America,2010,22696.766033346
Total North America,2011,22444.9090124722
Total North America,2012,22006.2380008649
Total North America,2013,22385.3450991479
Total North America,2014,22482.7052398002
Total North America,2015,22809.7207041076
Total North America,2016,22961.1453129316
Total North America,2017,23159.5716706047
Total North America,2018,23692.1809205907
Total North America,2019,23535.8546536923
Argentina,1965,432.37393556058
Argentina,1966,447.270806007903
Argentina,1967,459.876977260602
Argentina,1968,468.994810118365
Argentina,1969,491.75073283138
Argentina,1970,447.785768402239
Argentina,1971,479.603260273973
Argentina,1972,478.584153005465
Argentina,1973,482.634684931507
Argentina,1974,482.874383561644
Argentina,1975,457.946164383562
Argentina,1976,472.729371584699
Argentina,1977,497.940520547945
Argentina,1978,499.883589041096
Argentina,1979,528.458876712329
Argentina,1980,490.152349726776
Argentina,1981,458.282712328767
Argentina,1982,441.008054794521
Argentina,1983,450.822602739726
Argentina,1984,426.955081967213
Argentina,1985,388.977917808219
Argentina,1986,448.480547945206
Argentina,1987,476.706383561644
Argentina,1988,474.912978142077
Argentina,1989,434.874246575343
Argentina,1990,412.27298630137
Argentina,1991,425.930904109589
Argentina,1992,448.930737704918
Argentina,1993,446.81602739726
Argentina,1994,432.966301369863
Argentina,1995,431.509506849315
Argentina,1996,447.431120218579
Argentina,1997,450.262876712329
Argentina,1998,459.019589041096
Argentina,1999,430.612849315068
Argentina,2000,431.644398907104
Argentina,2001,426.551835616438
Argentina,2002,394.922301369863
Argentina,2003,406.870904109589
Argentina,2004,427.080956284153
Argentina,2005,451.229130136986
Argentina,2006,473.851785489134
Argentina,2007,527.752544294371
Argentina,2008,540.092111055191
Argentina,2009,532.22289119795
Argentina,2010,581.805494778569
Argentina,2011,591.290576649395
Argentina,2012,613.891632171336
Argentina,2013,657.632015449668
Argentina,2014,642.836919721995
Argentina,2015,662.420845669184
Argentina,2016,650.508389237697
Argentina,2017,636.867171061494
Argentina,2018,611.04138136785
Argentina,2019,599.055103447408
Brazil,1965,305.673808219178
Brazil,1966,334.602575342466
Brazil,1967,344.540164383562
Brazil,1968,412.43237704918
Brazil,1969,456.564904109589
Brazil,1970,512.724684931507
Brazil,1971,564.487698630137
Brazil,1972,648.893825136612
Brazil,1973,797.461232876712
Brazil,1974,859.652164383562
Brazil,1975,888.312219178082
Brazil,1976,957.88587431694
Brazil,1977,981.551616438356
Brazil,1978,1068.03443835616
Brazil,1979,1123.28038356164
Brazil,1980,1079.82734972678
Brazil,1981,1040.87079452055
Brazil,1982,1066.57865753425
Brazil,1983,1017.61205479452
Brazil,1984,1031.30756830601
Brazil,1985,1052.26032876712
Brazil,1986,1167.6501369863
Brazil,1987,1207.32704109589
Brazil,1988,1223.93830601093
Brazil,1989,1236.15134246575
Brazil,1990,1228.98279452055
Brazil,1991,1242.14969863014
Brazil,1992,1328.60775956284
Brazil,1993,1388.8384109589
Brazil,1994,1484.46947945206
Brazil,1995,1552.58024657534
Brazil,1996,1635.44743169399
Brazil,1997,1763.50597260274
Brazil,1998,1838.31090410959
Brazil,1999,1889.45265753425
Brazil,2000,1843.15991803279
Brazil,2001,1885.89023436381
Brazil,2002,1844.87422608785
Brazil,2003,1794.20292784279
Brazil,2004,1853.61391776131
Brazil,2005,1894.23639785166
Brazil,2006,1939.18187846776
Brazil,2007,2015.4502317951
Brazil,2008,2096.1878724086
Brazil,2009,2077.66976036712
Brazil,2010,2271.41358041872
Brazil,2011,2431.72987815933
Brazil,2012,2509.38629762695
Brazil,2013,2655.46509110032
Brazil,2014,2721.18798205075
Brazil,2015,2559.26460786335
Brazil,2016,2436.20940905989
Brazil,2017,2480.67945839137
